,Down_Weight,Neutral_Weight,Up_Weight
Topic_0,0.11300714959203952,-0.022420723493262622,-0.09058642609877664
Topic_1,-0.1473525908832206,0.214304614657266,-0.06695202377404573
Topic_2,0.08970666109499334,-0.06461511125720854,-0.025091549837785075
Topic_3,-0.14052636919413428,0.1582619211691012,-0.01773555197496682
Topic_4,0.08248280032720998,-0.1386178972933869,0.05613509696617693
Topic_5,0.029948097700024056,-0.04587817128635615,0.01593007358633187
Topic_6,-0.11579741033849304,0.13933780336691587,-0.023540393028422806
Topic_7,-0.07449558488031573,0.1409042511761122,-0.06640866629579643
Topic_8,0.1193794553262378,-0.15130634301518697,0.031926887688949177
Topic_9,0.06499894766318547,-0.19245569375389196,0.12745674609070665
